  numStations    runDownBat    travelDur    batteryDiff    waitingTime     bestLoss    simulationTime    numClosestStations    carConsumption    exponentialLambdaCities    endCityRatio    chargingTreshold    batteryTolerance    carVelocity
          300        214346     106.041       -0.382344       179.521   2.14649e+07              1000                     3            0.0001                      0.1             10                    0.5                0.05              1
          300        214477     132.1         -0.392885       197.118   2.1478e+07               1000                     1            0.0001                      0.001            0.01                 0.7                0.05              1
          300        214491     105.717       -0.382772       188.011   2.14794e+07              1000                     3            0.0001                      0.1             10                    0.7                0.1               1
          300        214587     105.469       -0.383504       180.8     2.1489e+07               1000                     3            0.0001                      0.1              0.1                  0.7                0.1               1
          300        214662     137.125       -0.388817       203.775   2.14965e+07              1000                     1            0.0001                      0.001            1                    0.3                0                 1
          300        214794     105.955       -0.382952       185.541   2.15097e+07              1000                     3            0.0001                      0.1             10                    0.3                0.1               1
          300        215021     105.808       -0.383781       182.632   2.15324e+07              1000                     3            0.0001                      0.1            100                    0.5                0.1               1
          300        215190     105.507       -0.3824         178.632   2.15493e+07              1000                     3            0.0001                      0.1            100                    0.3                0.05              1
          300        215201     134.666       -0.394029       198.723   2.15504e+07              1000                     1            0.0001                      0.001            0.1                  0.7                0.05              1
          300        215223     129.756       -0.393663       187.221   2.15526e+07              1000                     3            0.0001                      0.01            10                    0.5                0.1               1
          300        215280     129.822       -0.394462       203.321   2.15583e+07              1000                     1            0.0001                      0.01           100                    0.3                0                 1
          300        215322     135.81        -0.396967       200.231   2.15625e+07              1000                     1            0.0001                      0.001            0.01                 0.5                0.05              1
          300        215497     137.281       -0.391946       204.069   2.158e+07                1000                     1            0.0001                      0.001            1                    0.7                0.1               1
          300        215562     130.152       -0.393955       189.323   2.15865e+07              1000                     3            0.0001                      0.01            10                    0.7                0.05              1
          300        215632     132.495       -0.388533       185.955   2.15935e+07              1000                     3            0.0001                      0.01            10                    0.3                0.05              1
          300        215653     133.074       -0.38713        195.757   2.15956e+07              1000                     1            0.0001                      0.01             0.01                 0.7                0.05              1
